ux,uy,uz
-5.009790641592772042e-03,8.612270145019506815e-03,-8.548740577675932682e-04
-2.416970594266318068e-03,2.931125024187341502e-03,-2.864160745173563189e-04
-1.106782498791418490e-03,1.883693219713010458e-04,-1.935277572739654711e-05
-8.525798292861057250e-04,-3.709481260879623501e-04,3.391855268518893850e-05
-7.928251870019083561e-04,-4.774703572037256039e-04,4.374918951377490967e-05
-7.686660663064584682e-04,-4.904841342267493055e-04,4.476799526656821617e-05
-7.511766088967034493e-04,-4.843908997136242025e-04,4.401389676912205505e-05
-7.351668187797544881e-04,-4.745576730748903818e-04,4.291728955634094994e-05
-7.197188377051177803e-04,-4.641476424539177424e-04,4.176846409861159588e-05
-7.046693580321068901e-04,-4.538070840831241715e-04,4.062595679151567024e-05
-6.899851428198588597e-04,-4.436644281142505656e-04,3.950120124405305175e-05
-6.756547251487099925e-04,-4.337418668094726896e-04,3.839606434862795776e-05
-6.616702199495632817e-04,-4.240399166729805474e-04,3.731047645924519306e-05
-6.480244088227325857e-04,-4.145547521827604425e-04,3.624398224028341778e-05
-6.347103051179378867e-04,-4.052817498038577943e-04,3.519605570027292571e-05
-6.217210954692819948e-04,-3.962162095235657769e-04,3.416616401052859900e-05
-6.090501318250041238e-04,-3.873534999236180219e-04,3.315378026008444757e-05
-5.966909284901546423e-04,-3.786890857929394632e-04,3.215838583404198185e-05
-5.846371591725751243e-04,-3.702185318893908331e-04,3.117947068617103626e-05
-5.728826538747258841e-04,-3.619375019009791659e-04,3.021653318698257874e-05
-5.614213957731262845e-04,-3.538417564748224829e-04,2.926907988891834693e-05
-5.502475181484294551e-04,-3.459271510970490402e-04,2.833662527801234836e-05
-5.393553013848734808e-04,-3.381896339811801865e-04,2.741869152601096116e-05
-5.287391700431674476e-04,-3.306252439958780537e-04,2.651480824570213437e-05
-5.183936900066936230e-04,-3.232301086374948676e-04,2.562451224990679611e-05
-5.083135656999694359e-04,-3.160004420476882590e-04,2.474734731413064350e-05
-4.984936373779902570e-04,-3.089325430752918656e-04,2.388286394277731655e-05
-4.889288784850888371e-04,-3.020227933815529896e-04,2.303061913880812190e-05
-4.796143930819882434e-04,-2.952676555877801795e-04,2.219017617673320838e-05
-4.705454133396942879e-04,-2.886636714643968176e-04,2.136110437881398672e-05
-4.617172970989832166e-04,-2.822074601605418630e-04,2.054297889436737382e-05
-4.531255254942025373e-04,-2.758957164732673932e-04,1.973538048205341909e-05
-4.447657006401962120e-04,-2.697252091554876445e-04,1.893789529504039665e-05
-4.366335433811448946e-04,-2.636927792617332076e-04,1.815011466893061174e-05
-4.287248911001939698e-04,-2.577953385309864000e-04,1.737163491234528732e-05
-4.210356955887268595e-04,-2.520298678056519053e-04,1.660205710005580132e-05
-4.135620209742062268e-04,-2.463934154859107289e-04,1.584098686855781423e-05
-4.063000417055143230e-04,-2.408830960186795838e-04,1.508803421398388183e-05
-3.992460405947645483e-04,-2.354960884203654810e-04,1.434281329224881303e-05
-3.923964069145563461e-04,-2.302296348326714648e-04,1.360494222133093124e-05
-3.857476345496285860e-04,-2.250810391107745372e-04,1.287404288559045685e-05
-3.792963202015822038e-04,-2.200476654432449838e-04,1.214974074206660103e-05
-3.730391616438780015e-04,-2.151269370038290461e-04,1.143166462883427258e-05
-3.669729560172426612e-04,-2.103163346387223011e-04,1.071944657621992087e-05
-3.610945981213912917e-04,-2.056133956118505956e-04,1.001272162520244920e-05
-3.554010784946125918e-04,-2.010157125312769810e-04,9.311127674645112049e-06
-3.498894802866323343e-04,-1.965209331106482606e-04,8.614305464236905128e-06
-3.445569701800622496e-04,-1.921267642037176239e-04,7.921899219276409869e-06
-3.394007607843621674e-04,-1.878309980703118042e-04,7.233560545858888868e-06
-3.344179374255902169e-04,-1.836316541756897373e-04,6.548968310680034395e-06
-3.296046432709321783e-04,-1.795277189848523041e-04,5.867927148868612786e-06
-3.249522402954275872e-04,-1.755229679273425834e-04,5.190852760162123254e-06
-3.204292768778347375e-04,-1.716456107261614568e-04,4.521159918018264241e-06
-3.158971441775285192e-04,-1.680488749374684919e-04,3.877010436528440621e-06
-3.107174891668437636e-04,-1.655241965060356285e-04,3.349105307016106040e-06
-3.019348767121162206e-04,-1.681111620271267453e-04,3.384980599682962899e-06
-2.759162354170618405e-04,-1.963309937862040304e-04,6.187536860280927723e-06
-1.701616915689148726e-04,-3.540955105363204308e-04,2.259478537076919585e-05
2.996966205102326720e-04,-1.166091833970866283e-03,1.059231866818633496e-04
2.415977638690121766e-03,-5.274667658640164354e-03,5.184522194520802896e-04
