x,y,z,vx,vy,vz
9.999999999999997158e+01,-1.999999999999999432e+02,1.999999999999999645e+01,-2.333931063677220135e-15,3.812900657510033100e-15,-3.832860068597935634e-16
9.910086313663830992e+01,-1.982638843705476006e+02,1.982391273961990663e+01,-8.861068756126781742e-02,1.742799098288829729e-01,-1.760797473152759737e-02
9.700924210475717757e+01,-1.941471084724589105e+02,1.940942785656895353e+01,-1.201003306460750875e-01,2.376351908875551922e-01,-2.383874510276135991e-02
9.456869748290237965e+01,-1.893017955188990982e+02,1.892385468327977094e+01,-1.239153029923318744e-01,2.469248789306139613e-01,-2.471650044497338689e-02
9.210334047800373014e+01,-1.843816088702722311e+02,1.843150601275098310e+01,-1.226658362187566659e-01,2.450843618180319483e-01,-2.451626591790171533e-02
8.967187354412357081e+01,-1.795202379410737592e+02,1.794525376946807427e+01,-1.205425093854232133e-01,2.410367158906570606e-01,-2.410688373183723227e-02
8.728396293635468339e+01,-1.747434001916656712e+02,1.746751669804743301e+01,-1.183123525786952263e-01,2.366302380729894406e-01,-2.366478506311557595e-02
8.494033990839410819e+01,-1.700544777865381150e+02,1.699859232681145471e+01,-1.161130211996534989e-01,2.322454139636557224e-01,-2.322565131426665083e-02
8.264014717670004018e+01,-1.654522720282774912e+02,1.653835060766399678e+01,-1.139680249108960819e-01,2.279589832091920287e-01,-2.279655690028709741e-02
8.038226539382283420e+01,-1.609346746004493411e+02,1.608657810518989351e+01,-1.118805364899475158e-01,2.237850146739996660e-01,-2.237876578229650720e-02
7.816554797949081035e+01,-1.564994241825059191e+02,1.564304786832500582e+01,-1.098502038161813382e-01,2.197247133184452861e-01,-2.197236550640396455e-02
7.598886131963536172e+01,-1.521442612908981005e+02,1.520753353995324453e+01,-1.078761018189432069e-01,2.157766861608009512e-01,-2.157720913423220865e-02
7.385109102542217840e+01,-1.478669591699790260e+02,1.477981213278234662e+01,-1.059572364751964341e-01,2.119390528725173528e-01,-2.119310663615156173e-02
7.175114245546170366e+01,-1.436653292218209685e+02,1.435966450294163010e+01,-1.040926272256729457e-01,2.082098781117605046e-01,-2.081986371603332386e-02
6.968794031659825805e+01,-1.395372212299735679e+02,1.394687535718617788e+01,-1.022813193117236424e-01,2.045872592672432488e-01,-2.045728962385867308e-02
6.766042813367150188e+01,-1.354805225333501824e+02,1.354123316686442813e+01,-1.005223850752939019e-01,2.010693436182727778e-01,-2.010519866637420702e-02
6.566756771015444372e+01,-1.314931570008954225e+02,1.314253006446039507e+01,-9.881492368009200944e-02,1.976543310847380386e-01,-1.976341043889474555e-02
6.370833859635423835e+01,-1.275730839804245562e+02,1.275056173807765170e+01,-9.715806065606716335e-02,1.943404740585404078e-01,-1.943174979932161400e-02
6.178173756674605244e+01,-1.237182972565640426e+02,1.236512732694551175e+01,-9.555094744582437460e-02,1.911260766621042662e-01,-1.911004679190372868e-02
5.988677810622026243e+01,-1.199268240244771420e+02,1.198602931853115727e+01,-9.399276096747249953e-02,1.880094939114835828e-01,-1.879813656289184426e-02
5.802248990492358871e+01,-1.161967238803149201e+02,1.161307344733446101e+01,-9.248270319227834546e-02,1.849891308807989354e-01,-1.849585927661896723e-02
5.618791836141036100e+01,-1.125260878281736581e+02,1.124606859534004677e+01,-9.102000073573394967e-02,1.820634418872915383e-01,-1.820306003370747785e-02
5.438212409384164658e+01,-1.089130373031100163e+02,1.088482669408083936e+01,-8.960390446140693854e-02,1.792309297005688085e-01,-1.791958879171535318e-02
5.260418245898003420e+01,-1.053557232097265768e+02,1.052916262826408911e+01,-8.823368909724983722e-02,1.764901447764433140e-01,-1.764530028825287908e-02
5.085318307873308896e+01,-1.018523249758373339e+02,1.017889414091064637e+01,-8.690865286413956836e-02,1.738396845151355674e-01,-1.738005396654517323e-02
4.912822937400294876e+01,-9.840104962073058914e+01,9.833841739958948835e+00,-8.562811711644845170e-02,1.712781925434944674e-01,-1.712371390340524865e-02
4.742843810560344053e+01,-9.500013083755116838e+01,9.493828606285861227e+00,-8.439142599446171344e-02,1.688043580208734851e-01,-1.687614873958140707e-02
4.575293892200929236e+01,-9.164782808933334479e+01,9.158680503097263781e+00,-8.319794608846142747e-02,1.664169149683093207e-01,-1.663723161244332754e-02
4.410087391370650067e+01,-8.834242571822120738e+01,8.828225686641877346e+00,-8.204706611430660768e-02,1.641146416206609726e-01,-1.640684009097241602e-02
4.247139717391495850e+01,-8.508223206742103173e+01,8.502294818202692284e+00,-8.093819660034172470e-02,1.618963598013751504e-01,-1.618485611302306407e-02
4.086367436545895515e+01,-8.186557861543597880e+01,8.180720877320787565e+00,-7.987076958547420502e-02,1.597609343195610931e-01,-1.597116592482275901e-02
3.927688229356344607e+01,-7.869081912214012675e+01,7.863339076207143563e+00,-7.884423832826570333e-02,1.577072723890640127e-01,-1.576566002267990388e-02
3.771020848435760797e+01,-7.555632878625489468e+01,7.549986775298564545e+00,-7.785807702688866960e-02,1.557343230692410652e-01,-1.556823309686962767e-02
3.616285076886958194e+01,-7.246050341379662996e+01,7.240503399914437033e+00,-7.691178054980431222e-02,1.538410767271530255e-01,-1.537878397766871338e-02
3.463401687229967507e+01,-6.940175859706960182e+01,6.934730357971620407e+00,-7.600486417702422004e-02,1.520265645208970229e-01,-1.519721558351204774e-02
3.312292400836152240e+01,-6.637852890378454163e+01,6.632510958715309712e+00,-7.513686335182316600e-02,1.502898579038156324e-01,-1.502343487124401140e-02
3.162879847848359915e+01,-6.338926707588734644e+01,6.333690332424200875e+00,-7.430733344277580532e-02,1.486300681493280540e-01,-1.485735278843931285e-02
3.015087527566586090e+01,-6.043244323768844595e+01,6.038115351048848112e+00,-7.351584951599524076e-02,1.470463458961417391e-01,-1.469888422776885646e-02
2.868839769278864082e+01,-5.750654411288682866e+01,5.745634549742512753e+00,-7.276200611745720082e-02,1.455378807136099573e-01,-1.454794798338721051e-02
2.724061693517327853e+01,-5.461007225008883381e+01,5.456098049244314296e+00,-7.204541706529776768e-02,1.441039006870140082e-01,-1.440446670931936311e-02
2.580679173719616060e+01,-5.174154525642455127e+01,5.169357479074894179e+00,-7.136571525197808741e-02,1.427436720225575273e-01,-1.426836687982537509e-02
2.438618798275982513e+01,-4.889949503887031312e+01,4.885265901505252195e+00,-7.072255245621271447e-02,1.414564986718697404e-01,-1.413957875172248274e-02
2.297807832942700301e+01,-4.608246705288841838e+01,4.603677736259800923e+00,-7.011559916455557817e-02,1.402417219758218536e-01,-1.401803632864429688e-02
2.158174183602585927e+01,-4.328901955800043311e+01,4.324448685915112556e+00,-6.954454440250618097e-02,1.390987203274535733e-01,-1.390367732721433866e-02
2.019646359353918896e+01,-4.051772287991412469e+01,4.047435661956490627e+00,-6.900909557482581835e-02,1.380269088537236510e-01,-1.379644314509394752e-02
1.882153435910492334e+01,-3.776715867883571320e+01,3.772496711456140073e+00,-6.850897831391042359e-02,1.370257391153142656e-01,-1.369627883077722923e-02
1.745625019301932213e+01,-3.503591922363930422e+01,3.499490944343591536e+00,-6.804393633100189187e-02,1.360946988211134134e-01,-1.360313305457205857e-02
1.609991209893385644e+01,-3.232260667176966251e+01,3.228278461271674615e+00,-6.761373124558725523e-02,1.352333115402415964e-01,-1.351695807806785853e-02
1.475182566886061508e+01,-2.962583235580959951e+01,2.958720282240494548e+00,-6.721814227577331546e-02,1.344411363225079814e-01,-1.343770970887022201e-02
1.341130074136695249e+01,-2.694421608313752969e+01,2.690678276923913259e+00,-6.685696523300560523e-02,1.337177667637029777e-01,-1.336534717562293945e-02
1.207765111340139441e+01,-2.427638548360117454e+01,2.424015101489011226e+00,-6.653000818584807463e-02,1.330628271135510798e-01,-1.329983260371639907e-02
1.075019449759018997e+01,-2.162097558735672465e+01,2.158594165617374827e+00,-6.623707136177882371e-02,1.324759530323422196e-01,-1.324112851952440224e-02
9.428253628966141164e+00,-1.897662957238287973e+01,1.894279746500933337e+00,-6.597785288361827927e-02,1.319566933074090009e-01,-1.318918564934036010e-02
8.111162760240867797e+00,-1.634200550246134753e+01,1.630937824390507718e+00,-6.575150716524710837e-02,1.315040064701883948e-01,-1.314388296824802078e-02
6.798299330157039577e+00,-1.371581369702413689e+01,1.368440466343879613e+00,-6.555458448834444729e-02,1.311136887825234409e-01,-1.310473284643790676e-02
5.489232663001700097e+00,-1.109701026147231850e+01,1.106687663356322737e+00,-6.537146622375665517e-02,1.307652736015491868e-01,-1.306943063911272969e-02
4.184413711308716088e+00,-8.485784252909182257e+00,8.457150243821068836e-01,-6.513022130991488745e-02,1.303555076628968579e-01,-1.302671977380730033e-02
2.888350134933394653e+00,-5.888566318506708086e+00,5.862238228103134885e-01,-6.450022301484258092e-02,1.293615340097144795e-01,-1.292129321967709459e-02
1.624114368558524868e+00,-3.343357718063527884e+00,3.321887085166623788e-01,-6.197137491354261923e-02,1.251402521757458142e-01,-1.248113432532475808e-02
4.990880594489461863e-01,-1.047464729977152453e+00,1.036860198731403143e-01,-5.070236103632733832e-02,1.043640499974517466e-01,-1.036815959313502379e-02
5.319618333800803385e-15,-9.905934999908631277e-15,9.638579712611050096e-16,-8.667306120947396190e-17,1.712737381549080715e-16,-1.646450072657076922e-17
